model,variable,min,max,mean,sd
Binomial,occupied,0,1,0.4583333333333333,0.5017574746630903
Binomial,springs,0.004887116243108589,1.2795395730873746,0.22500595230729095,0.27473206169657777
Binomial,paz,0.1340064964432613,3.1808288050545173,1.1128155460852416,0.708927608937443
Poisson,population,1,32,8.787878787878787,8.107703033834458
Poisson,springs,0.004887116243108589,0.6770874018834947,0.113756371832301,0.18457128898342626
Poisson,cities,0.22313838802807273,2.6808288050545173,1.0786646413963463,0.6325495437388757
Poisson,secure,0,1,0.30303030303030304,0.4278794317103921
